title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
定慧西里，满五年，中间楼层，南北西三居室，带车位,3室1厅1卫, 中楼层/16层 ,定慧寺 定慧寺西里 · 距离地铁西钓鱼台1245米,81.8 平米 , 南北 , 1998年建,40 人关注 , 2019-02-18发布,近地铁满五年近公园,单价73961元/m²,605万
宏仁家园 全南向两居室 高楼层 采光好 无遮挡,2室1厅1卫, 高楼层/28层 ,马驹桥 宏仁家园,86.96 平米 , 南 , 2012年建,29 人关注 , 2019-07-24发布,满五年,单价25299元/m²,220万
北一区地铁旁，商品房满五年一套，优质大三居室,3室1厅2卫, 中楼层/24层 ,天通苑 天通苑北一区 · 距离地铁天通苑南263米,139.72 平米 , 西南 , 2004年建,3 人关注 , 2019-11-27发布,近地铁满五年业主自荐,单价33567元/m²,469万
郁花园二里，一室两厅格局，精装，南北通透，目前已改2室,1室2厅1卫, 中楼层/6层 ,黄村北 郁花园二里 · 距离地铁高米店北388米,64.92 平米 , 南北 , 2001年建,3 人关注 , 2019-11-22发布,近地铁随时看满二年业主自荐,单价51602元/m²,335万
北二环，93年钢混，楼龄新，满五年央产房，有客厅，楼下花园,3室1厅1卫, 高楼层/6层 ,德胜门 普天大院 · 距离地铁积水潭572米,83 平米 , 南北 , 1993年建,2 人关注 , 2019-11-13发布,近地铁满五年业主自荐,单价138434元/m²,1149万
长椿街 2007年商品房 70年产权业主诚售！！,1室2厅1卫, 低楼层/19层 ,长椿街 锦上国际公寓 · 距离地铁广安门内595米,69.97 平米 , 北 , 2007年建,7 人关注 , 2019-10-10发布,近地铁满二年业主自荐,单价71316元/m²,499万
新上红莲中里东南正规三居 采光充足 视野开阔 无浪费面积,3室1厅1卫, 中楼层/18层 ,马连道 红莲中里 · 距离地铁达官营748米,79.05 平米 , 东南 , 1989年建,4 人关注 , 2019-09-28发布,近地铁随时看业主自荐,单价89817元/m²,710万
悦和园精装两居 南向户型 满五年唯一 看房基本随时,2室2厅1卫, 低楼层/29层 ,东坝 朝新嘉园西里,78.29 平米 , 南 , 2013年建,7 人关注 , 2019-09-20发布,满五年业主自荐,单价46622元/m²,365万
交道口北新桥地铁沿线 板楼中间楼层 采光充足 看房方便,2室1厅1卫, 中楼层/6层 ,东直门 北新桥三条 · 距离地铁北新桥697米,62.3 平米 , 西南 , 1985年建,10 人关注 , 2019-08-17发布,近地铁满五年业主自荐,单价99197元/m²,618万
广安门内牛街低总价一居室，双地铁，精装修，业主诚售,1室1厅1卫, 中楼层/21层 ,牛街 牛街东里二区 · 距离地铁菜市口677米,57.36 平米 , 西南 , 1996年建,11 人关注 , 2019-04-06发布,近地铁满五年业主自荐,单价83508元/m²,479万
